rank,suit,displayName,value,wild,drawQuote,winQuote,loseQuote,role,color,imagePrompt
A,Hearts,Wrigley Field Ace,11,false,You drew the ace like the wind just turned toward left field.,Ace high and the ivy is applauding.,Ace went flat; blame the lake breeze and act confident.,Ace feature,Cubs Blue and Red,"ornate Chicago Cubs themed ace playing card with Wrigley Field, ivy, flags, blue and red border, vintage baseball poster style"
2,Hearts,Double Play Ivy,2,false,"Two card special: double play energy, tiny blackjack panic. No. 2 gets the double-play joke; somewhere Nico Hoerner appreciates the glove work.",You turned two and looked graceful doing it.,"Two outs, no nachos, emotional damage.",number theme,Cubs Blue and Red,"two Cubs infield gloves turning a double play over ivy and brick, playful baseball card art, blue red accents"
3,Hearts,Three Up Three Down,3,false,"Three up, three down, and somehow you still need snacks. No. 3 energy: old-school Cub speed with a triple in mind.","Triple threat: cards, luck, and questionable math.",Three is cute until the dealer pulls a face card.,number theme,Cubs Blue and Red,"three baseballs streaking toward the Wrigley gap with scoreboard lights, comic sports card style"
4,Hearts,Four Winds at Wrigley,4,false,Four winds at Wrigley just voted to mess with the ball. No. 4 gets the Shawon Dunston rocket-arm nod.,"Four bases later, you are jogging like a legend.","Four points: technically progress, emotionally suspicious.",number theme,Cubs Blue and Red,"four swirling wind arrows over Wrigley Field flags and rooftops, clean illustrated playing card design"
5,Hearts,Five Run Rally,5,false,Five run rally loaded; somebody wake the bleachers. No. 5 tips a cap to Hack Wilson-sized power.,Five feels alive when the Cubs bats get loud.,Five is what optimism looks like before the dealer ruins it.,number theme,Cubs Blue and Red,"five Cubs bats stacked like a rally torch with hot dogs and scorecards, humorous vintage card art"
6,Hearts,Six Four Three Double Play,6,false,Six-four-three! Even your cards know fundamental baseball. No. 6 nods to Stan Hack and clean baseball chaos.,"Six stacked clean, like a double play with style.",Six showed up wearing batting gloves and forgot the bat.,number theme,Cubs Blue and Red,"six numbered bases and arrows forming a 6-4-3 double play over infield dirt, bold Cubs colors"
7,Hearts,Seventh Inning Stretch,7,false,"Seventh inning stretch card: stand up before your luck cramps. No. 7 says stretch first, ask questions later.",You sang it loud enough for Harry to approve.,"Seven tried to stretch, pulled a hamstring, and sat down.",number theme,Cubs Blue and Red,"seventh inning stretch scene with singing crowd, organ notes, ivy wall, blue red playing card frame"
8,Hearts,Eight Brick Wall,8,false,Eight brings Hawk vibes and a cannon from right field. No. 8 gives Andre Dawson Hawk-level attitude.,"Eight has ivy, bricks, and just enough attitude.",Eight hit the wall and asked for a replay review.,number theme,Cubs Blue and Red,"right field ivy wall with eight bricks glowing and a hawk silhouette, dramatic Cubs themed card art"
9,Hearts,Nine Innings of Hope,9,false,"Nine innings of hope, anxiety, and overpriced lemonade. No. 9 carries Javy-style flair and ninth-inning nerves.",You closed the ninth like the North Side needed you.,Nine lives used up; the baseball gods checked the receipt.,number theme,Cubs Blue and Red,"ninth inning scoreboard with three final outs lit up, tense funny Wrigley crowd illustration"
10,Hearts,Ten Santo Salutes,10,false,"Ten salute to Ron Santo; click those heels and draw proud. No. 10 is Ron Santo territory: all heart, all Cubs.",Ten points and the broadcast booth is yelling joyfully.,Ten looked heroic until the dealer found a bigger bat.,number theme,Cubs Blue and Red,"Ron Santo inspired number ten tribute card with heel click energy, ivy, brick, Cubs blue and red border"
